"We cannot solve problems with the kind of thinking we employed when we came up with them"
"Learn as if you will live forever, live like you will die tomorrow"
"Stay away from those people who try to disparage your ambitions"
"When you give joy to other people, you get more joy in return"
"When you change your thoughts, remember to also change your world"
"You are the alpha wolf"
"It is only when we take chances, when our lives improve"
"The road to success and the road to failure are almost exactly the same"
"Success usually comes to those who are too busy looking for it"
"Nothing in the world can take the place of Persistence"
"Lift your head up King, you dropped your crown"
"Words don't matter in showing how much you love a person, Mr.Bean never spoke a word but he never left Teddy behind"
"Fear has killed more dreams than failure ever has"
"Never switch up on the minis just because you got a big pot, remember who got you to 50 shield"
"How do you expect to get high ground, if you don't expect to build"
